beam_index,count,relative_frequency
139,0,0.0000000000
140,0,0.0000000000
141,0,0.0000000000
142,0,0.0000000000
143,0,0.0000000000
144,0,0.0000000000
145,0,0.0000000000
146,0,0.0000000000
147,0,0.0000000000
148,0,0.0000000000
149,2,0.0002075119
150,32,0.0033201909
151,87,0.0090267690
152,169,0.0175347582
153,287,0.0297779622
154,478,0.0495953517
155,445,0.0461714049
156,709,0.0735629799
157,1188,0.1232620876
158,1849,0.1918447811
159,1169,0.1212907242
160,9,0.0009338037
161,0,0.0000000000
162,0,0.0000000000
163,0,0.0000000000
164,7,0.0007262918
165,1,0.0001037560
166,0,0.0000000000
167,0,0.0000000000
168,0,0.0000000000
169,7,0.0007262918
170,5,0.0005187798
171,1,0.0001037560
172,1,0.0001037560
173,0,0.0000000000
174,2,0.0002075119
175,0,0.0000000000
176,1,0.0001037560
177,0,0.0000000000
178,3,0.0003112679
179,13,0.0013488276
180,32,0.0033201909
181,49,0.0050840423
182,72,0.0074704295
183,49,0.0050840423
184,60,0.0062253580
185,40,0.0041502386
186,12,0.0012450716
187,7,0.0007262918
188,11,0.0011413156
189,6,0.0006225358
190,3,0.0003112679
191,12,0.0012450716
192,0,0.0000000000
193,0,0.0000000000
194,0,0.0000000000
195,0,0.0000000000
196,0,0.0000000000
197,4,0.0004150239
198,0,0.0000000000
199,0,0.0000000000
200,0,0.0000000000
201,0,0.0000000000
202,2,0.0002075119
203,9,0.0009338037
204,2,0.0002075119
205,1,0.0001037560
206,1,0.0001037560
207,2,0.0002075119
208,0,0.0000000000
209,7,0.0007262918
210,32,0.0033201909
211,34,0.0035277028
212,25,0.0025938991
213,6,0.0006225358
214,1,0.0001037560
215,1,0.0001037560
216,0,0.0000000000
217,0,0.0000000000
218,1,0.0001037560
219,3,0.0003112679
220,5,0.0005187798
221,10,0.0010375597
222,0,0.0000000000
223,15,0.0015563395
224,0,0.0000000000
225,0,0.0000000000
226,0,0.0000000000
227,2,0.0002075119
228,1,0.0001037560
229,10,0.0010375597
230,12,0.0012450716
231,0,0.0000000000
232,0,0.0000000000
233,0,0.0000000000
234,0,0.0000000000
235,0,0.0000000000
236,0,0.0000000000
237,0,0.0000000000
238,2,0.0002075119
239,2,0.0002075119
240,24,0.0024901432
241,34,0.0035277028
242,9,0.0009338037
243,0,0.0000000000
244,0,0.0000000000
245,0,0.0000000000
246,0,0.0000000000
247,0,0.0000000000
248,0,0.0000000000
249,0,0.0000000000
250,3,0.0003112679
251,5,0.0005187798
252,3,0.0003112679
253,6,0.0006225358
254,5,0.0005187798
255,11,0.0011413156
